"","X1","X2"
"1","this vacuum is good if you only have hardwood floors and no carpet or rug. i mean 0. everyday mine would get stuck and i have low pile. even my 2 year-old shark ion do a better job. big fail for Deebot. will be returning.","Reviewed in the United States on September 24, 2020"
"2","I loved this vacuum but the last couple months it’s very loud and sounds like it may be struggling a little. I need to replace the parts, sweepers have been destroyed picking up hair and getting caught in the rug. Over all a good purchase. Not sure how much longer it will last by the noises coming from it though.","Reviewed in the United States on September 24, 2020"
"3","I would have given this 5 stars but after 3 months of use, it stopped working... very disappointing!!","Reviewed in the United States on September 23, 2020"
"4","Absolutely waste of money , stopped working after few use contacted the DEEBOT assistant line their response was “we are unable to help you have to purchase a new one “  but they were generous enough to give me 20 percent off of the new purchase lol what a joke","Reviewed in the United States on September 23, 2020"
"5","We've had Deebot for just over a year and a half. We don't use it as much as some people - it's more of a supplement for us when we don't feel like getting out the Kirby, so it gets run about 2-3 times a month at most. Otherwise it always lives in its cradle.About two months ago it stopped working. That is - it would run for a few minutes, then start beeping four beeps with a red light. Doing extensive internet research suggested that Deebot needed a good deep cleaning and possibly a new battery. I followed multiple videos to clean all the hair out of every wheel, nook, and cranny that existed, but still the same. So we shelled out the $25 for a new battery.And today I tried to run it for the first time after the new battery has been charging for several days... and once again, it went for a few minutes, stopped in the middle of the room not near anything, and started the four beeps.So I guess, if you shell out hundreds of dollars for this thing, be sure to understand that it is a ""disposable"" product that will only last about 16 months, and then will be completely broken beyond repair, even if you follow the company's instructions and shell out additional money for a battery.","Reviewed in the United States on September 23, 2020"
"6","For those that don't want to read the entire report. DO NOT BUY if you intend on keeping it for a long-term use.I bought this Deebot 2 years ago, and finally decided to give it a review. For the first 9 months, the Deebot worked decently well for a family home and a shedding dog. We constantly cleaned it out after every use, which is expected since we ran it 3 times a week. We did have to slightly rearrange the house everytime since it does not have the capability to avoid most minor obstacles. Overall, we were pleased with the Deebot.Here is were it started to get frustrating as time went by. By 10 months it started having issues with the battery life and software. Imagine it cleaning a 1,500 sq ft area and then, dropping down to 750 sq ft area before it was triggerd it to find the charging port due to a low battery. This, from our observations, was a sharp decline in battery life. It was nearly an instant occurrence where it had issues cleaning.We replaced and cleaned the deebot accessories when needed or recommended by the app associated with the Deebot.By the 11th month, the software started to have issues. It would blink various stages of red and cease to clean. This is when we called customer service to get a replacement. We followed various cleaning and troubleshooting instructions before they decided to replace it. Nothing out of the ordinary for companies to do. However, we had to send in the old Deebot before receiving a replacement. Once it was sent, it took a number of weeks to recieve the replacement.They sent us a refurbished Deebot as a replacement and we immediately had issues with the Deebots software. It would randomly blink red and beep when charging (generally within the first 10 minutes of charging), try to go over obstacles rather than avoid them, and still had battery half-life battery. It was as if, they decided to give me a replacement of my old one with additional issues. Granted, it did clean the area until the battery was low this time. When we called, it was too late! We were over the 12 month warranty and all they could do, or want to do, was buy a new one or we had to pay to get it fixed. Low and behold, we stuck with it for a year with all it's issues to at least use it until it is ready to be in the grave.We are now in the market to buy another vaccum. They have been a lifesaver when it comes to sweeping hairs and miscellaneous nonsense. Plus, I feel it does a better job sweeping than myself.Nevertheless, having a robo-vaccum has been a 1st world saver for reducing time and ensure a decent clean. Would I get a Deebot again... NO I wouldn't. This time I am looking for quality product and a company that will stand behind it with more than just a one year warranty.Why???Because I take care of my stuff with the expectation that it will last for years. This obviously does not possess qualities that will last.FYI, the 2 deebots we have had have normal wear and tear from bouncing of objects and what have you. They were not abused, damaged, or tinkered with. However, a few nights ago the Deebot decided to force its way through an area that has a lip under the dishwasher. When I mean forced, it used all its might and power to get under there. It wasn't until I went in the Kitchen because I heard it in the kitchen longer than it normally does. When I pulled it out, trying to inflict the least damage to the device and appliance, the result is in the picture.","Reviewed in the United States on September 23, 2020"
"7","In general, the product is great, clean up all hairs in the room. However, hairs do get stuck inside and not sucked in. Another problem is that its navigation ability is some what not so great. It can repetitively clean one place but not so much in other places.","Reviewed in the United States on September 23, 2020"
"8","Si no lo veo no lo creo. No se de donde recogió todo eso. Muy contenta. Se entra en todo lado debajo de los mueble , la cama el baño. Todoooo. Estoy súper feliz. No hace ruido.","Reviewed in the United States on September 22, 2020"
"9","I ordered a machine and it came in looking used. I requested a new machine. I got the new machine, no problem as I did the exchange through Amazon's return process.  Quick, painless, and easy.So why the 1 star rating you ask? Well, well, well. Where do I begin after that?The problems: The machine will not connect to the app. Never has, never will.It is so out of wack it turns on in the middle of the night waking me up.It barely works on a repeated cycle like its supposed too.It doesn't go to any other rooms other than my living room.It stopped working completely. I've gotten in touch with the manufacturer because my extended warranty has not picked up yet until the manufacturer is done. They have been an ABSOLUTE NIGHTMARE. They are the least helpful people in the world. I am supposed to be out of a machine for who knows how long. They insist I ship it back to China for it to be worked on and if it can't be fixed they will send me a refurbished one. I've requested a replacement in the meantime...this has been going on since January. I still have not been able to send my machine back.I would have rather spent the extra money getting a more reputable company that doesn't let their customers go through a grace period of 9 months without a working machine. I also am infuriated I bought an extended warranty on a product that I cannot utilize it on. Save up more money and buy from a better company. Because trust me the back and forth talk of fixing my machine has been awful and I am so busy I got this thinking that it would save me time vacuuming. It has not saved me anytime doing anything.","Reviewed in the United States on September 22, 2020"
"10","Overpriced garbage. It stopped working after few month. Now, it only goes in circles and then stops.","Reviewed in the United States on September 22, 2020"
"11","I got this a while back but didn't start using it until June of this year (it's now September).It was fine at first, definitely not as smart as a Roomba but did the job. I bought it when it was on sale so the discount as significant enough to not just buy a Roomba.Well maybe I should have bought a Roomba because today, for literally no reason at all, the motor started making a loud whirring sound as it was vaccuming. And then after 10 minutes of that, the motor died and now it no longer vacuums.So now I just have a robot that walks around the room.Needless to say, I won't be replacing it.","Reviewed in the United States on September 21, 2020"
