",""X1"",""X2""";;;;;;;;;
"1001,""I love this vacuum.  It helps keep up with the dog hair and dust. I live in the mountains, I also have a German Sheppard and lab. This helps so much for the in between cleaning days."",""Reviewed in the United States on December 28, 2019""";;;;;;;;;
"1002,""This product was used once a week for less than 8 months before it completely became useless.  It stops and beeps every 2 minutes, like if it’s stuck on something, but the canister is empty, there is nothing in the blades or brush... i have to follow it around and restart literally every other minute.  No one has time for that."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1003,""I named mine Hugo and I am in love. We live in our apartment together and I have never been happier. Yes we still fight and he will go into the closet and get stuck on a pair of pants I left on the floor. But it is all worth it."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1004,""Love it for everyday cleaning.Cleans dirt, dust, dog and cat hair! Has even picked up floss'er's, toothpicks, bobby pins and duct tape! I am impressed! Best of all I didn't have to pay high dollars for one. this one does what I need it to!"",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1005,""The item is great my only complaint is that the add says it comes with extra supplies like side brush’s and extra filters. Well it doesn’t so I had to order them separate for $15 no big deal .outside of the it works great"",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1006,""worked great for a few months of easy vacuuming on a hardwood surface. Now it just goes for about a minute then beeps 3 times and quits. I changed all the parts, cleaned the thing and still nothing...too bad I guess I should have bought a better brand :("",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1007,""I bought this product originally in July of 2018.  It ran great for about 6 or 7 months.  Shortly after that the primary brush stopped working.  A couple of minutes after it started to work, it just stopped and let out a series of three beeps about 5 times.  The customer service was great and I was able to exchange it.  After getting the new one, I was hopeful.  The second one died this weekend.  I think this is one of those cases where you get what you pay for."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1008,""For the price this product is great. Simply put, if you are looking for a robotic with decent suction power but don’t want to drop half a grand on a vacuum then this one is great. It functions great and even has a few extra programs like spot clean and side clean. It also has a reliable time function. My favorite function is the ability to control the robot’s directional path with the remote. It’s like a remote control car. If you are looking for a vacuum that memorizes the layout of the room you may want to keep on looking however as this one just goes about randomly. All in all this is a quality vacuum for the price and I would defiantly recommend it to any one looking for a cheap but good robotic vacuum."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1009,""If I could give this thing a rating of 10, I would!  I have never been more pleased with any produ ct\appliance ordered sight unseen.  I have 6 house cats & 2 active grandchildren.  My tile, carpets & even throw rugs are cleaned like new. My husband & I were so impressed we gave each of our daughters one for Christmas.  I've seen roombas in action.  In comparison to pricing & cleaning Deebot wins hands down."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1010,""This product was fine for about 2 months, then it started dying in the middle of a room rather than going back to the charging station.  Now, 3 months later it does not work.  A lot of money for 3 months.  There is no sucktion power, it is like a carpet sweeper."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1011,""I purchased this as a cheaper option than Roomba figuring the technology would be similar. Unfortunately, since purchasing it over two weeks ago the vacuum has been unable to leave the small office where it is located. Total waste of money. Will throw it away and buy a Roomba. Not recommended."",""Reviewed in the United States on December 27, 2019""";;;;;;;;;
"1012,""I've had it for a year now, and in every respect it has exceeded my expectations."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1013,""Nice"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1014,""Love it."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1015,""This was the second Ecovacs Deebot I have purchased and the second one to crap out after less than two years of use. After I purchased my first one, I liked it so much I purchased a second one a few months later. Both worked great for a season. After about 16 months of use, the first one died. I contacted Ecovacs to see if they offered any repair service or could do anything, but they could/would not because it was after the 12 month warranty had expired. Thinking maybe it was an anomaly, I purchased a third Ecovacs Deebot to replace the broken one. This time though, I got the extended warranty and suspect I will need it. Well, as of this week, after 20 months of use, my second one died also. Maybe I’m old fashioned, but I expect a household appliance that costs hundreds of dollars to last more than two years. I will not be buying another robot vac from Ecovacs. It’s a bummer, because aside from the longevity, they have been great machines."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1016,""First of all, this vacuum is super cute! It's really fun to watch it scoot around. I have very long hair and it handles it well. There is a tool to cut it from the roller that I use after every couple of uses. Also, when long hair gets caught around the smaller brushes, I just pull it off and there is no problem. I am very impressed with the craftsmanship and quality.It does well not bumping into things often. You can even drive it around with the app on your phone like it's a remote control car! At first, it had some trouble docking itself to charge, however, when I moved the charger from a carpeted area to a hard wood floor it did so much better. Overall, this is worth the price and I have been suggesting it to everyone!"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1017,""Works great on all surfaces"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1018,""Lo único malo es que la app está disponible solo para EEUU y no puedo descargarla de ninguna forma"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1019,""Don't waste your money! The robot won't connect to the wifi after many many attempts and the customer service is a joke!!! They are the worst. I'd rather call Comcast and deal with them. Buyer beware!!!"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1020,""Worked for 3 months then started having problems. It would spin in circles, beep and then turn off. Contacted customer service multiple times with no resolution. I will not buy from them again"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1021,""Piece of crap. Don't even get what you pay for. Worked once or twice, picking up only a little of the dust on the floor, then stopped working. Threw it in the garbage and ordered a Roomba like I should have done in the first place. Se la vie. Gave one star only because it made me check something."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1022,""Did a great job, I even vacuumed first, before I tried it. I was amazed at how much additional dirt and hair it picked up.  Very pleased. Purchased because I have back issues and vacuuming is very painful for me.  This will be a great help!It is a little loud, and runs for more than an hour. It might be beneficial to run when you are out...or sleeping, lol.  I just turn up the music.Dogs aren't bothered, just a little curious, but learned to get up on their beds and stay until it's done."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1023,""I had an iRobot that I paid twice as much for, and it wasn’t as hardy or dependable as this vacuum. The iRobot died within about 3 months, and their support and warranty was worthless. This one is still going strong, and is easy to operate."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1024,""I like the vacuum, we have a large short hair dog that sheds constantly. I can run the deebot while prepping dinner.I still use my other vacuum as the zig zag pattern does not get everything.Downside, I have made sure when in the base it is on the home setting not auto, have not set a time to auto clean yet the vacuum goes off at 1:50am, goes under a chair and tangles with electric cords. Have removed batteries in the remote to reset it, powered off, unplugged the base, yet it sill happens. Maybe a  neighbor has a similar device which is programmed and the signal set my unit<U+0001F937><U+200D><U+2640><U+FE0F>. I now power off at base."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1025,""Es una gran aspiradora por el precio, hace lo que debe, tampoco esperes que sea perfecta, pero hace su trabajo, no sube demacrado bien los tapates o pequeños desniveles, pero so todo es plano esta es la aspiradora."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1026,""Works really well"",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1027,""Had this for one year. Works great. Highly recommend."",""Reviewed in the United States on December 26, 2019""";;;;;;;;;
"1028,""Didn’t want to use this until I really cleaned my floors, meaning a good vacuum and mop. Ya know, fresh start. With 4 indoor animals & a husband...can never be to careful. Even though I did a good cleaning and ran this same day after. It picked up so many fine particulars and dust, it was crazy. It was full before I knew it. Sometimes it gets confused going home but I have several friends with iRobot’s & there’s so the exact same.  This one does have 2 brushes & a remote + app which the iRobot’s don’t have. I chose the cheaper vacuum because my dog has a love for attacking my vacuums & I'm waiting for the day he chooses this one. Didn’t want to sink a lot into it knowing it may not make it long. If this one doesn’t, I would buy it again."",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1029,""Very great for price"",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1030,""Fantastic vacuum and worth every penny"",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1031,""Great entry level robot vacuum. Great for houses with animals that shed"",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1032,""When I first bought these, I loved them as they've made my life easier.I bought this in November 2017 and both my vacuums just decided not to work as soon as my 1 year warranty was up.It worked find every day and it just decided to stop.I bought 2 and both decided they want to stop working 1 year later."",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1033,""I wish I could give this vaccum a leat 3 stars, but the quality is TERRIBLE! It doesn't deserve any stars at all. I bought mine about 8 months ago and it worked great, until 4 months after it stopped working properly. It won't charge completely, and when starting  to vaccum it stops after 5 minutes.  I don't recommend to anyone. I am sure the ones whon left a 5 stars review will regret their purchase in a few months"",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1034,""I just tried setting up and it doesn't work with the app it came with. For my son who loves having a smart home was very disappointed but it works just fine with the remote. However, there are more control setting options  offered in the app. For this reason giving it  only 3 stars. Will do another review if I can get it to work with Alexa."",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1035,""I purchased this on November 18, 2018 as a birthday gift for myself. It is now December 2019 and the vacuum cleaner will no longer charge when docked. Basically, it last a total of 1 year and 1 month, with usage twice a week. The vacuum gets easily caught up in doormats, area rugs, and under the bed. I would set it to vacuum, come home from going away, and find the vacuum missing in a random location. At the least it does actually vacuum when it does work";" however, for the money I would have expected it to last for more than 13 months. I still have my standard vacuum and would not buy another one of these nor would I recommend anyone buy this product."",""Reviewed in the United States on December 25, 2019""";;;;;;;;
"1036,""Bought a year and a half ago to vacuum 3 adjacent rooms with hardwood floors a couple of times per week. This unit is tolerant of minor neglect. I don't clean it as often as I should. I don't change filters very often either. It works well anyway. But even if you're lazy like me, it works better if you empty the bin often ... Replacement supplies for this unit are cheap, and it's worth changing filters & brushes when your phone app says a certain consumable is used up."",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1037,""We run our DEEBOT about twice a week and sweep in between those times (as needed). Before the DEEBOT we had tons of dog hair in our dust pan after a sweep, and we’ve noticed that we hardly have any now";" that being said we can definitely tell it’s made a big difference."",""Reviewed in the United States on December 25, 2019""";;;;;;;;
