",""X1"",""X2""";;;;;;;;
"2001,""Good product"",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2002,""We were fairly early adopters of these vacuums, but the performance was disappointing, too little suction and tool little cleaning ability.  We have not had one for years until we bought this.... This much less expensive bot is really a delight.  I am almost always surprised at the amount it picks up.  It slides easily under most furniture, and relentlessly searches out more dirt.  Very pleased at price/performance."",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2003,""Battery is dead after nine months!"",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2004,""Does not pick up anything !  Especially on hardwood floors"",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2005,""This does wonders for our tiled floor.  An hour a night keeps our entire house hair- free.  We have 2 dogs and now can walk barefoot without stepping on debris . Also picks up dog food that our one dog flings across the floor.  Life saver and weirdly satisfying to see all the gunk it has picked up."",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2006,""I like it for picking up crumbs, but it doesn’t go in the corners. It also does not pick up my German Shepard’s hair, which was the entire reason I got it.Not even 3 months later and it keeps jamming and beeping. Biggest waste of money."",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2007,""After few years and it still working well. Great smart cleaner!"",""Reviewed in the United States on August 4, 2019""";;;;;;;;
"2008,""I did a lot of searching, glad I came across DEEBOT N79S. I had it for about 4 months now and I run it 2-3 times a week, my floors look and stay clean of dust dirt and dog hair.  Never any issues. Once in a while DEEBOT may get stuck if a rug lifts up on the edge, but that I believe is more of the rugs fault than DEEBOT. I have mostly vinyl floors, some ceramic tile and several area rugs. DEEBOT does it all, run time is more like 2 hours or so. Another thing I like is the 2 spinning brushes rather than only 1, so both sides are taken care of as DEEBOT travels along. Definitely Recommended!"",""Reviewed in the United States on August 3, 2019""";;;;;;;;
"2009,"" This thing is great. To start off with, we have a family of 7, plus two dogs and a cat.  Most of our floors are hard. I wanted something that can pick up the fur and keep the floors clean. This does the job. It's quiet and runs for a couple of hours. The reason for four stars instead of five is a couple of reasons: Every once in a while, it loses its mind. It'll get stuck in a corner and have trouble finding its way out—even though there's a clear way out (see the video).  It'll burn its whole battery and not clean. We'll let it charge and then run it again and everything seems to work fine, then. Also, I wish it had a bigger rubber bumper on the front sensor (maybe even one above the sensor and not just below). As the Deebot edges, the sensor gets scratched. After a few months, the Deebot runs into everything instead of sensing the object. I ended up putting Gorilla Tape over the sensor. Once that gets scratched, I just replace the tape."",""Reviewed in the United States on August 3, 2019""";;;;;;;;
"2010,""Ok.  So, I've have the DBot for 2 months and had time to oberve enough for an accurate and fair review.  First and foremost,  I would like to say this is a very solid product that does a surprisingly good job I'm picking up debris off of tile and carpet.  Assembly and programming is very simple and easy, and replacement parts such as brush heads and filters are cheap and easily accessible on Amazon. This product can be programmed to vacuum only when you ask it to were set up on a schedule like I have where it vacuums every other day while I am getting ready for work.Pros:  this little guy fits directly under my couch no problem cleaning the tile floor two respectable level at a glance. The reservoir for debris within the device is easy to remove and dump as well as filter maintenance being easily accessible. Does a surprisingly good job transitioning from tile do carpet and vice versa.  Also compatible with Alexa oh, so if you do not have a schedule set up you can simply say """" Alexa, start the vacuum."""" And the way it goes. Watch for sales.  I got mine it's a deal of the day and saved over $100 off MSRP, and I feel that it's well worth it.Cons: although it works with Alexa this is not a smart device. Meaning that there is no mapping feature on this particular device and it wanders around the house aimlessly in random patterns taking it substantially longer to clean then I feel it really should. Also if there is anything left or dropped in the floor such as the towel I clean my dog's Paws with when we come in from a walk the deebot will get stuck and you'll come home to it beeping worked with a dead battery.  If you decide to stop the cycle early because it is randomly wandering around the house, again it is not a smart device and does not do very well finding its docking station. So you may have to deal with picking the thing up and putting it on the docking station or just letting it wander around at a lower power bumping into the walls and chairs until it finally figures out where home is, also providing the opportunity to get stuck.  And this is the reason for me starting to cycle while I'm still home oh, so I don't come home to a dirty floor and a a dead battery in my Robot vacuum because it's stuck on top of something.  Don't get me wrong the getting stuck thing is fairly rare and once you figure out what items will cause this issue it's fairly easy to make sure they're not around before it starts. this may be inconvenient timing but the app is already transitioned once in the last 2 months making the app I'm currently using incompatible with the device so I have to go through set up all over again."",""Reviewed in the United States on August 3, 2019""";;;;;;;;
"2011,""This is my first and only robot vacuum so I have nothing to compare to, but this thing is amazing on my concrete floors. She sucks up all the dog hair every night. It’s like magic. My dog is terrified so we only let this gal work her magic at 1am nightly. I love her!!"",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2012,""Great cleaning help"",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2013,""great price, decent job of cleaning. Having bought 7 as gifts for friends I have learned after a year or 2, it is not holding a charge and is basically done."",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2014,""I bought a N79S model in May 2018 and gave it to my sister for Christmas. She loved it. However, now that the warranty has expired, it does not operate properly- after just 8 months of use!  When I called customer service, I was told there was nothing they could do now.  They’re planning to have a repair service set up “this quarter” and I could keep checking back on the website to see when.  So my advice to anyone thinking about buying one of these units is to think twice.  There’s no service after the sale."",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2015,""Buyer beware: This vacuum's app requires access to make and receive phone calls and edit your local files. You can use it with the included remote, but that eliminates all of the advanced features like scheduling."",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2016,""Its great! Very efficient and thorough. Easy to clean out tray.  Get one for every floor!"",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2017,""Working well so far!"",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2018,""Works great for daily sweeping and vacuuming, and it's fun to control from the app. Not really intended for deep cleaning your carpet but you'll basically never have to sweep your house again and maybe vacuum once a month."",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2019,""The price for this amazing gem was unbeatable. This is my first robovac so I can't compare with others, but I am extremely happy with it.I gave it 4 stars because in order to get the room edges clean the bot has to be switched to Edge Cleaning, otherwise when it senses the wall is in front, it veers off to another direction.It cleans my hardwood floors, tile floors and area rugs. The room needs a bit of prep before starting by making sure there aren't any wires on the floor or small toys etc.Very easy to clean.I named my bot Jeeves. Absolutely love this bot."",""Reviewed in the United States on August 2, 2019""";;;;;;;;
"2020,""Me encanto limpia súper bien mi carpetas la amoooooo"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2021,""Love the product. I just wish the set up app it would of being easier"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2022,""The vacuum itself works well, but after an update to the mobile application it requires access to your phones IMEI and storage. The mobile app is nothing short of spyware."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2023,""Does a great job most of the time. Sometimes the back hops."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2024,""Really impressed with how well it cleans. We have a long hair dog that sheds daily. It does a great job cleaning up the dog hair. Easy to use remote, empty bin, clean filters, etc. Really helps keep the house clean without having to pull out a big vacuum."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2025,""My wife loves it. It does a great job in our 1600 s.f. house. We live in Fl and have tile floors, no carpet, this machine does very good on the tile. It knows how to return to its dock and does not get hung up anywhere. We would say 5 stars for it"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2026,""I can’t believe how much this little guy can suck up! We have 2 dogs and love that we can schedule it to clean while we are gone."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2027,""Worked perfect until 4 days after warranty expired. Company was of no help. I suspect an app update as this happened the very same day. Real shame was doing a great job on my hardwood floors just seems super suspicious that it would break 4 days after warranty had expired."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2028,""Only time will tell how long this things lasts, but in the short amount of time I've owned and used it, it's works like a charm. Pros: cleans well, easy to clean, easy to use. Cons: A little noisy, struggles to find its way back to the base when you hit the home button. Best to use it when you are home because sometimes it gets stuck on uneven surfaces and it will continue revving the motor unless you dislodge it."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2029,""I don't write too many reviews so bare with me.  I bought this because of my dog (Female GSD) is a shedder. I have had this for a few weeks now.I have tile, wood and area rugs on my first floor (Around 3000 sq ft) and this cleans all surfaces.You have to empty it after each cleaning.It wonders around the house in a hap hazard way. It may not clean every inch every day, but I am sure over the course of the week everything is cleaned.The only negative and reason it doesn't get 5 stars would be about 1 out of 5 cleanings it fails to find its way back to the charging location.  Its a new game....Find the Bot!"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2030,""While the vac worked OK, changing the brushes was an adventure..  New replacement brushes and rollers fit OK, but hear this: if you lose the small metal clip that holds the brush on, you are toast.  No replacements as far as I could find.  Without the clip, the brush wont stay on!"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2031,""Worked for a whole month, if that.  Now every time I turn it on and it won’t do anything but turn itself in a circle. Does terrible on carpet. Don’t waste your money."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2032,""Initially the vacuum worked fine. After a few months, one of the sweepers started clicking and less than a year later that same sweeper doesn’t work at all. According to Amazon, product support is no longer available."",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2033,""I have been using an Oreck for years to clean the house, but this little robot picked up stuff that I didn't even know existed. It is easy to use, on low suction the battery will last long enough to clean about 1200sqft in my place. That is not bad considering how well it cleans. On max suction it is great to get a few rooms cleaned before needing to recharge. I highly recommend this product!"",""Reviewed in the United States on August 1, 2019""";;;;;;;;
"2034,""This was my first robot vacuum and I guess I was expecting more. Turned it on and watched it bump into everything and pass over the same spot multiple times. Not much intelligence to it. Probably worth it to spend more on something better."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2035,""Works pretty good. It gets caught on any shoelace, fringe, or low hanging wire it comes across so you’ll really dial your house in if you keep this going."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2036,""Best purchase ever. Even cleans up cat litter. Great for getting up my long hair, but keep cleaning off brushes and rollers to avoid buildup. Love it."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2037,""I ordered this to help keep clean the loft cement flooring as I have 3 pets. While but does an excellent job (except if you are having spilled grains such as uncooked rice, it will just kick it around) However, total loss on trying to connect it to use with WIFI/Alexa. It does not support 5GHz! So your are SOL on trying to use all the features that are given. If I  had known I probably would buy something else just because of the price, I wanted it to work with Alexa/Wifi/App"",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2038,""This will change your life! I have 100% hardwood floors. This sweeps all of them in a couple hours and does an amazing job! It hits every corner and gets dust I didn’t even know was there."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2039,""My DeeBot N79S stopped working 4 months after the warranty expired.  I contacted Evovacs Customer Service.  The first person to respond was helpful but after trying what they suggested the unit still didn't operate.  The second Customer Service person was anything but helpful.  The Evovacs Customer Service Rep told me there was nothing they could do and that I would have to wait until their new repair facility opens later in the year.  WHAT??? so in the meantime I have a $250 doorstop (Not acceptable).  Amazon needs to reconsider carrying the Evovacs line of products because this kind of customer treatment only diminishes Amazons reputation."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2040,""Is good."",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2041,""Great!"",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2042,""My life is complete! I’m obsessed with this thing. I use it everyday. I have a lab and a long haired cat. This definitely  keeps me ahead of the game. Love it!"",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2043,""I liked how it cleaned up my floors.. What I Don't like is it turns on automatically at 2 am when I am sound asleep.. I've contacted ecovac support and we have walked through the steps and it still keeps repeating itself of turning on at 2 am"",""Reviewed in the United States on July 31, 2019""";;;;;;;;
