"","X1","X2"
"1","









  
  
    
  Great for touch ups but not the same deep cleaning of a conventional vacuum. Does need babysitting, it often gets stuck under chairs and under furniture.

  
","Reviewed in the United States on November 21, 2020"
"2","









  
  
    
  For the most part I love my Roomba! She works great! The only part I don¡¯t like is she gets stuck in the weirdest ways. I used to have the couch up against a wall with an area rug in front of it and the Roomba would get stuck underneath the couch. Also I had a small step down (2.5¡±) and it wouldn¡¯t sense the step so it would fall down and get stuck down there. Other than that I really like my Roomba.

  
","Reviewed in the United States on November 21, 2020"
"3","









  
  
    
  I have a dark rug it will not clean.  Just stupid.

  
","Reviewed in the United States on November 21, 2020"
"4","









  
  
    
  We had another brand robot vacuum from some Chinese knockoff that was cheaper and worked better.  Extremely disappointed.My complaints for hard surface:- instead of sucking up dust, it usually shoots it out in front.- literally goes right over small debris sometimes and doesn¡¯t pick it up.- supposed to self dock and charge but doesn¡¯t. Literally stops somewhere in the same room as the dock and receive verbal instructions from the roomba to dock it. Seriously?- suction seems very weak.- vacuum pathing is soooo random and all over the place that it takes forever to clean a room, IF it even stays in the same room. Usually leaves the room long before it can go over even half the room.Sooo disappointed. I thought getting this name brand vacuum would be a good experience. I even check out video reviews but just can¡¯t believe this is the same thing that received top reviews.Seriously thinking to give this to a friend and buying something else. What a waste of money.

  
","Reviewed in the United States on November 21, 2020"
"5","









  
  
    
  I had a house cleaner, every 2 weeks <U+2014>- but with three dogs, I really need to vacuum every day. Now, I schedule my Roomba, and it makes all the difference. Yes, it misses a few places... But it can also get all the way under the beds, and some other places that I could never reach. I love this little robot, even named her Hazel!

  
","Reviewed in the United States on November 21, 2020"
"6","









  
  
    
  I¡¯ve only owned this for a few months and something is wrong with the battery. It won¡¯t charge. I keep getting error 8 prompts when trying to charge it. I shouldn¡¯t have to replace the battery already.

  
","Reviewed in the United States on November 20, 2020"
"7","









  
  
    
  Love my roomba !

  
","Reviewed in the United States on November 20, 2020"
"8","









  
  
    
  I've only used on hard (bamboo) floors, so not sure how well it would work on carpet.  This is such a time saver for me.  I have 2 dogs, one cat, and three young kids so our floors get plenty dirty.  I programmed it run at night when we are in bed.  It makes a fair amount of noise, but it doesn't bother us because I use it on the lower level and we sleep on the second floor.  I empty the dustbin every morning and it's usually pretty full.  The only annoying thing is that it gets stuck on our rubber floor mat.  It goes over a different one easily as it is thinner.  I pick up the thicker mat and the rag rug I have, along with our kitchen stools every evening so it can do a thorough job.  Strangely, it hadn't gotten stuck on the Christmas tree skirt at all yet.  I'll also add that we have a sunken livingroom so there's a step down and it has never fallen off the edge.

  
","Reviewed in the United States on November 20, 2020"
"9","









  
  
    
  I can schedule cleanups and it meets my needs. However, it doesn¡¯t connect to 5G and I need to make sure that I don¡¯t have loose cords hanging around.

  
","Reviewed in the United States on November 20, 2020"
"10","









  
  
    
  Keeps the house clean and doesn't make my allergies act up

  
","Reviewed in the United States on November 20, 2020"
"11","









  
  
    
  Got it on sale for below $200. I like it. It doesn't vacuum in certain pattern but wandering all over the place and that makes it missing spots here and there not very sufficient especially taking more than an hour to vacuum some area normally would take 30 minutes.

  
","Reviewed in the United States on November 19, 2020"
"12","









  
  
    
  I really love ""Gladys"" !  She helps us with our busy home especially one with a long haired cat.  My floors have never looked better.  It's never going to be perfect but when you don't have time to sweep every day, she certainly helps us out!

  
","Reviewed in the United States on November 19, 2020"
"13","









  
  
    
  For anyone with pets who shed this is for you! Only thing I wish it did was climb onto my floor rugs.

  
","Reviewed in the United States on November 19, 2020"
"14","









  
  
    
  This is great! Absolutely great. I had one last year that was not the iRobot brand and it was not very good. The Roomba doesn't get stuck under the couch and cleans up cat hair from places completely unknown to me. Highly recommend!!

  
","Reviewed in the United States on November 19, 2020"
"15","









  
  
    
  I love Roomba but this model is useless for pet hair UNLESS you're ok with taking the brushes out after every clean and ripping the hair out of the brushes. We have a white siberian husky and a Samoyed - this roller type just can't handle it. They have a model with rubber rollers which is significantly better and doesn't require you having to clean the rollers.

  
","Reviewed in the United States on November 19, 2020"
"16","









  
  
    
  It's my first iRobot, never had anything like that before. I was surprised that it doesn't clean much, it works for hair but nothing else. So I am a little disappointed, even small bread crumbs cannot pick it up of the floor. I am not sure if I ever will buy similar again.

  
","Reviewed in the United States on November 18, 2020"
